0,0,55
0,1,214
0,2,219
0,3,147
0,4,29
0,5,184
0,6,206
0,7,74
1,0,100
1,1,29
1,2,4
1,3,154
1,4,240
1,5,15
1,6,153
1,7,219
2,0,78
2,1,253 `
2,2,138
2,3,6
2,4,247
2,5,220
2,6,8
2,7,108
3,0,163
3,1,42
3,2,116
3,3,68
3,4,77
3,5,130
3,6,143
3,7,29
4,0,72
4,1,55
4,2,23
4,3,107
4,4,185
4,5,24
4,6,45
4,7,46
5,0,125
5,1,53
5,2,219
5,3,236
5,4,120
5,5,21
5,6,78
5,7,21
6,0,90
6,1,167
6,2,46
6,3,5
6,4,246
6,5,182
6,6,60
6,7,147
7,0,186
7,1,110
7,2,206
7,3,109
7,4,28
7,5,183
7,6,190
7,7,210
8,0,193
8,1,42
8,2,61
8,3,201
8,4,57
8,5,26
8,6,59
8,7,145
9,0,93
9,1,130
9,2,225
9,3,233
9,4,67
9,5,229
9,6,123
9,7,178
10,0,7
10,1,12
10,2,48
10,3,242
10,4,127
10,5,65
10,6,188
10,7,184
11,0,0
11,1,85
11,2,160
11,3,129
11,4,242
11,5,224
11,6,107
11,7,189
12,0,149
12,1,33
12,2,158
12,3,79
12,4,181
12,5,248
12,6,162
12,7,166
13,0,151
13,1,22
13,2,9
13,3,223
13,4,135
13,5,203
13,6,74
13,7,91
14,0,46
14,1,243
14,2,122
14,3,169
14,4,199
14,5,191
14,6,142
14,7,1
15,0,67
15,1,132
15,2,45
15,3,159
15,4,74
15,5,222
15,6,159
15,7,237
16,0,128
16,1,15
16,2,116
16,3,61
16,4,67
16,5,212
16,6,143
16,7,14
17,0,97
17,1,97
17,2,28
17,3,10
17,4,36
17,5,83
17,6,250
17,7,6
18,0,186
18,1,13
18,2,254
18,3,90
18,4,24
18,5,218
18,6,171
18,7,155
19,0,105
19,1,246
19,2,211
19,3,174
19,4,91
19,5,9
19,6,18
19,7,189
20,0,116
20,1,81
20,2,145
20,3,22
20,4,248
20,5,242
20,6,44
20,7,85
21,0,24
21,1,33
21,2,78
21,3,43
21,4,60
21,5,14
21,6,237
21,7,146
22,0,26
22,1,130
22,2,176
22,3,39
22,4,253
22,5,144
22,6,200
22,7,14
23,0,86
23,1,137
23,2,87
23,3,125
23,4,31
23,5,183
23,6,168
23,7,46
24,0,63
24,1,177
24,2,181
24,3,252
24,4,116
24,5,16
24,6,178
24,7,153
25,0,178
25,1,163
25,2,74
25,3,240
25,4,213
25,5,104
25,6,8
25,7,210
26,0,155
26,1,216
26,2,204
26,3,120
26,4,111
26,5,71
26,6,125
26,7,60
27,0,133
27,1,180
27,2,159
27,3,116
27,4,28
27,5,10
27,6,196
27,7,205
28,0,105
28,1,62
28,2,90
28,3,109
28,4,134
28,5,33
28,6,216
28,7,8
29,0,235
29,1,0
29,2,17
29,3,141
29,4,40
29,5,228
29,6,178
29,7,165
30,0,139
30,1,183
30,2,216
30,3,186
30,4,213
30,5,100
30,6,171
30,7,120
31,0,7
31,1,218
31,2,192
31,3,110
31,4,66
31,5,198
31,6,119
31,7,250
32,0,169
32,1,239
32,2,250
32,3,171
32,4,97
32,5,204
32,6,15
32,7,216
33,0,239
33,1,219
33,2,249
33,3,239
33,4,93
33,5,59
33,6,34
33,7,145
34,0,190
34,1,249
34,2,178
34,3,122
34,4,85
34,5,227
34,6,159
34,7,64
35,0,203
35,1,147
35,2,194
35,3,232
35,4,254
35,5,163
35,6,124
35,7,197
36,0,116
36,1,1
36,2,181
36,3,72
36,4,113
36,5,123
36,6,54
36,7,83
37,0,9
37,1,158
37,2,167
37,3,87
37,4,100
37,5,129
37,6,181
37,7,169
38,0,246
38,1,153
38,2,163
38,3,156
38,4,247
38,5,7
38,6,73
38,7,147
39,0,102
39,1,203
39,2,32
39,3,124
39,4,132
39,5,52
39,6,60
39,7,139
40,0,29
40,1,80
40,2,109
40,3,163
40,4,83
40,5,206
40,6,2
40,7,168
41,0,71
41,1,159
41,2,185
41,3,220
41,4,40
41,5,147
41,6,69
41,7,111
42,0,191
42,1,161
42,2,34
42,3,253
42,4,79
42,5,188
42,6,78
42,7,86
43,0,153
43,1,223
43,2,233
43,3,63
43,4,238
43,5,193
43,6,111
43,7,66
44,0,116
44,1,105
44,2,185
44,3,176
44,4,52
44,5,201
44,6,28
44,7,255
45,0,173
45,1,70
45,2,147
45,3,241
45,4,253
45,5,158
45,6,185
45,7,245
46,0,97
46,1,67
46,2,188
46,3,117
46,4,152
46,5,45
46,6,30
46,7,30
47,0,232
47,1,97
47,2,152
47,3,115
47,4,103
47,5,130
47,6,62
47,7,130
48,0,182
48,1,139
48,2,127
48,3,187
48,4,12
48,5,243
48,6,82
48,7,219
49,0,141
49,1,26
49,2,60
49,3,175
49,4,39
49,5,153
49,6,150
49,7,174
50,0,199
50,1,224
50,2,143
50,3,218
50,4,96
50,5,238
50,6,123
50,7,26
51,0,63
51,1,157
51,2,92
51,3,15
51,4,83
51,5,232
51,6,176
51,7,132
52,0,89
52,1,227
52,2,238
52,3,137
52,4,213
52,5,208
52,6,226
52,7,92
53,0,182
53,1,113
53,2,164
53,3,54
53,4,89
53,5,238
53,6,86
53,7,243
54,0,125
54,1,62
54,2,138
54,3,250
54,4,65
54,5,223
54,6,131
54,7,92
55,0,162
55,1,34
55,2,230
55,3,117
55,4,0
55,5,213
55,6,58
55,7,60
56,0,149
56,1,15
56,2,230
56,3,126
56,4,146
56,5,128
56,6,152
56,7,35
57,0,201
57,1,148
57,2,149
57,3,8
57,4,125
57,5,195
57,6,177
57,7,40
58,0,29
58,1,2
58,2,210
58,3,44
58,4,215
58,5,22
58,6,151
58,7,97
59,0,93
59,1,69
59,2,96
59,3,222
59,4,222
59,5,201
59,6,96
59,7,178
60,0,254
60,1,21
60,2,16
60,3,219
60,4,47
60,5,161
60,6,15
60,7,51
61,0,100
61,1,129
61,2,252
61,3,176
61,4,215
61,5,240
61,6,220
61,7,64
62,0,72
62,1,100
62,2,171
62,3,246
62,4,128
62,5,113
62,6,4
62,7,68
63,0,123
63,1,133
63,2,40
63,3,120
63,4,20
63,5,208
63,6,119
63,7,176
64,0,44
64,1,171
64,2,40
64,3,93
64,4,223
64,5,188
64,6,239
64,7,79
65,0,76
65,1,164
65,2,0
65,3,107
65,4,245
65,5,107
65,6,104
65,7,135
66,0,229
66,1,142
66,2,184
66,3,72
66,4,240
66,5,204
66,6,141
66,7,65
67,0,82
67,1,243
67,2,135
67,3,32
67,4,198
67,5,23
67,6,123
67,7,198
68,0,184
68,1,25
68,2,134
68,3,209
68,4,212
68,5,113
68,6,49
68,7,108
69,0,36
69,1,93
69,2,145
69,3,23
69,4,9
69,5,38
69,6,168
69,7,255
70,0,218
70,1,232
70,2,163
70,3,209
70,4,27
70,5,252
70,6,91
70,7,93
71,0,147
71,1,78
71,2,111
71,3,175
71,4,54
71,5,136
71,6,54
71,7,252
72,0,148
72,1,193
72,2,210
72,3,179
72,4,93
72,5,36
72,6,207
72,7,213
73,0,203
73,1,132
73,2,150
73,3,208
73,4,63
73,5,92
73,6,159
73,7,252
74,0,3
74,1,75
74,2,203
74,3,235
74,4,149
74,5,20
74,6,243
74,7,67
75,0,113
75,1,196
75,2,34
75,3,156
75,4,67
75,5,6
75,6,220
75,7,29
76,0,20
76,1,73
76,2,86
76,3,185
76,4,222
76,5,94
76,6,175
76,7,18
77,0,253
77,1,15
77,2,72
77,3,79
77,4,58
77,5,169
77,6,225
77,7,89
78,0,81
78,1,96
78,2,199
78,3,240
78,4,207
78,5,173
78,6,42
78,7,24
79,0,128
79,1,209
79,2,222
79,3,5
79,4,197
79,5,11
79,6,42
79,7,156
80,0,216
80,1,184
80,2,243
80,3,18
80,4,247
80,5,181
80,6,131
80,7,32
81,0,6
81,1,2
81,2,138
81,3,101
81,4,95
81,5,204
81,6,4
81,7,121
82,0,179
82,1,158
82,2,122
82,3,126
82,4,102
82,5,93
82,6,153
82,7,69
83,0,93
83,1,247
83,2,207
83,3,224
83,4,245
83,5,127
83,6,123
83,7,149
84,0,219
84,1,246
84,2,69
84,3,13
84,4,103
84,5,250
84,6,86
84,7,233
85,0,227
85,1,148
85,2,192
85,3,3
85,4,120
85,5,228
85,6,33
85,7,26
86,0,67
86,1,130
86,2,30
86,3,47
86,4,110
86,5,199
86,6,99
86,7,224
87,0,129
87,1,248
87,2,82
87,3,35
87,4,216
87,5,62
87,6,22
87,7,157
88,0,154
88,1,235
88,2,7
88,3,155
88,4,227
88,5,75
88,6,201
88,7,238
89,0,235
89,1,33
89,2,163
89,3,32
89,4,153
89,5,34
89,6,186
89,7,174
90,0,212
90,1,193
90,2,238
90,3,88
90,4,240
90,5,234
90,6,213
90,7,86
91,0,234
91,1,163
91,2,62
91,3,234
91,4,172
91,5,74
91,6,65
91,7,6
92,0,121
92,1,80
92,2,177
92,3,179
92,4,22
92,5,16
92,6,26
92,7,216
93,0,65
93,1,59
93,2,96
93,3,169
93,4,249
93,5,116
93,6,201
93,7,28
94,0,230
94,1,97
94,2,206
94,3,115
94,4,58
94,5,173
94,6,97
94,7,170
95,0,178
95,1,198
95,2,158
95,3,94
95,4,36
95,5,102
95,6,244
95,7,251
96,0,166
96,1,186
96,2,12
96,3,124
96,4,96
96,5,123
96,6,189
96,7,32
97,0,131
97,1,208
97,2,213
97,3,33
97,4,68
97,5,39
97,6,145
97,7,188
98,0,219
98,1,110
98,2,252
98,3,85
98,4,131
98,5,6
98,6,147
98,7,5
99,0,30
99,1,99
99,2,134
99,3,34
99,4,214
99,5,213
99,6,252
99,7,80
100,0,206
100,1,22
100,2,70
100,3,13
100,4,67
100,5,127
100,6,37
100,7,39
101,0,182
101,1,43
101,2,94
101,3,39
101,4,80
101,5,243
101,6,64
101,7,55
102,0,213
102,1,20
102,2,248
102,3,246
102,4,69
102,5,98
102,6,121
102,7,246
103,0,90
103,1,76
103,2,233
103,3,159
103,4,142
103,5,29
103,6,214
103,7,145
104,0,34
104,1,74
104,2,224
104,3,45
104,4,68
104,5,221
104,6,188
104,7,191
105,0,187
105,1,225
105,2,123
105,3,3
105,4,150
105,5,198
105,6,160
105,7,38
106,0,237
106,1,105
106,2,94
106,3,122
106,4,222
106,5,217
106,6,227
106,7,129
107,0,72
107,1,228
107,2,69
107,3,207
107,4,15
107,5,188
107,6,237
107,7,85
108,0,36
108,1,231
108,2,73
108,3,193
108,4,80
108,5,91
108,6,249
108,7,80
109,0,68
109,1,13
109,2,175
109,3,61
109,4,96
109,5,246
109,6,51
109,7,131
110,0,8
110,1,224
110,2,161
110,3,145
110,4,131
110,5,81
110,6,164
110,7,101
111,0,92
111,1,197
111,2,55
111,3,219
111,4,55
111,5,219
111,6,157
111,7,165
112,0,4
112,1,47
112,2,61
112,3,63
112,4,181
112,5,239
112,6,234
112,7,23
113,0,24
113,1,46
113,2,67
113,3,178
113,4,194
113,5,160
113,6,73
113,7,195
114,0,10
114,1,20
114,2,180
114,3,167
114,4,109
114,5,150
114,6,80
114,7,84
115,0,195
115,1,209
115,2,103
115,3,147
115,4,172
115,5,217
115,6,43
115,7,243
116,0,23
116,1,68
116,2,255
116,3,149
116,4,105
116,5,240
116,6,74
116,7,219
117,0,162
117,1,56
117,2,200
117,3,70
117,4,177
117,5,152
117,6,6
117,7,31
118,0,211
118,1,220
118,2,137
118,3,222
118,4,27
118,5,119
118,6,92
118,7,244
119,0,74
119,1,115
119,2,206
119,3,63
119,4,216
119,5,160
119,6,126
119,7,198
120,0,200
120,1,241
120,2,120
120,3,99
120,4,67
120,5,6
120,6,176
120,7,68
121,0,182
121,1,119
121,2,50
121,3,75
121,4,236
